Test_Samples,Nonseizure_Test_Count,Seizure_Test_Count,Threshold,Accuracy,Accuracy_Percent,F1,PR_AUC,ROC_AUC,True_Negative,False_Positive,False_Negative,True_Positive,Case
45020,44903,117,0.5,0.9251221679253665,92.51221679253665,0.05600672080649678,0.2598069545821481,0.9600354115642628,41549,3354,17,100,chb10
31313,31109,204,0.5,0.9663398588445693,96.63398588445693,0.266016713091922,0.8067967217892694,0.9923625594761997,30068,1041,13,191,chb11
18617,18346,271,0.5,0.9243701992802278,92.43701992802278,0.03561643835616438,0.018130989059828736,0.5450289695854551,17183,1163,245,26,chb12
