Case,Test_Samples,Preictal_Count,Ictal_Count,Accuracy,F1,PR_AUC,ROC_AUC,Sensitivity,Specificity,True_Negative,False_Positive,False_Negative,True_Positive
chb10,218.0,109.0,109.0,0.7385321100917431,0.7574468085106383,0.8874550667965568,0.8609544651123643,0.8165137614678899,0.6605504587155964,72.0,37.0,20.0,89.0
chb11,402.0,201.0,201.0,0.917910447761194,0.9193154034229829,0.9667480951024399,0.9649513625900349,0.9353233830845771,0.900497512437811,181.0,20.0,13.0,188.0
chb12,428.0,214.0,214.0,0.6121495327102804,0.4154929577464789,0.7872791703740044,0.7877762249978164,0.2757009345794392,0.9485981308411215,203.0,11.0,155.0,59.0
