Experiment,Classification_Task,Split_Policy,Patient_Wise,Test_Samples,Negative_Test_Count,Positive_Test_Count,Accuracy,F1,PR_AUC,ROC_AUC,Sensitivity,Specificity,True_Negative,False_Positive,False_Negative,True_Positive,Directly_Comparable_To_CSV,Important_Limitation
Preprocessed CSV,Preictal vs Ictal,Random 75/25 segment-level split,False,512,263,249,0.947265625,0.9469548133595284,0.9832972222137712,0.9839357429718876,0.9678714859437751,0.9277566539923955,244,19,8,241,True,Random segment split may contain patient-related information in both sets
Raw EDF seizure detection,Nonseizure vs Ictal,Patient-wise: chb01-chb09 train; chb10-chb12 test,True,94950,94358,592,0.9385676671932596,0.098036183701871,0.2603227176302134,0.7957607040580927,0.535472972972973,0.9410966743678332,88800,5558,275,317,False,Different negative class and naturally imbalanced test set
Raw EDF preictal-ictal,Preictal vs Ictal,Patient-wise: chb01-chb09 train; chb10-chb12 test,True,1048,524,524,0.7557251908396947,0.7241379310344828,0.8627615685233275,0.834149743604685,0.6412213740458015,0.8702290076335878,456,68,188,336,False,"Closer class match, but patient-wise split is harder than the CSV random split"
