Evaluation,Data_Source,Channels,Segment_Length_Seconds,Split_Policy,Training_Patients,Testing_Patients,Patient_Overlap,Training_Balancing,Test_Samples,Nonseizure_Test_Count,Seizure_Test_Count,Accuracy_Percent,F1,PR_AUC,ROC_AUC,TN,FP,FN,TP,Epochs,Batch_Size,Training_Seconds
Preprocessed CSV,ictal_data.csv and preictal_data.csv,23,4,Random 75/25 segment split,Patients mixed by random split,Patients mixed by random split,True,Preprocessed class data,512,263,249,94.7265625,0.9469548133595284,0.9832972222137712,0.9839357429718876,244,19,8,241,30,50,1461.4580495357511
Raw EDF,Raw EDF recordings from chb01-chb12,18,4,Patient-wise split,chb01-chb09,chb10-chb12,False,Random undersampling of training nonseizure segments only,94950,94358,592,93.85676671932596,0.098036183701871,0.2603227176302134,0.7957607040580927,88800,5558,275,317,30,50,176.9904658794403
